collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,디스클로저 데이,,23.2%,38265,,"23.2% (누적:38,265명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,군체,,15.4%,25411,,"15.4% (누적:25,411명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,와일드 씽,,13.3%,22000,,"13.3% (누적:22,000명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,상자 속의 양,,7.0%,11510,,"7.0% (누적:11,510명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,백룸,,4.8%,7912,,"4.8% (누적:7,912명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,신사: 악귀의 속삭임,,4.4%,7203,,"4.4% (누적:7,203명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,마이클,,2.5%,4076,,"2.5% (누적:4,076명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,마스터즈 오브 유니버스,,2.0%,3324,,"2.0% (누적:3,324명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,싱 스트리트,,1.9%,3186,,"1.9% (누적:3,186명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,눈동자,,1.9%,3126,,"1.9% (누적:3,126명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,쏜애플 '나의 세기' 익스텐디드 플레이 필름,,1.8%,2930,,"1.8% (누적:2,930명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,만달로리안과 그로구,,1.6%,2617,,"1.6% (누적:2,617명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,,1.3%,2135,,"1.3% (누적:2,135명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,너만 보이는 날,,1.2%,2007,,"1.2% (누적:2,007명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,,1.0%,1671,,"1.0% (누적:1,671명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,울프 토템,,0.7%,1220,,"0.7% (누적:1,220명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,이상한 과자 가게 전천당,,0.7%,1198,,"0.7% (누적:1,198명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,다윗,,0.7%,1173,,"0.7% (누적:1,173명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,신극장판 은혼: 요시와라 대염상,,0.6%,1043,,"0.6% (누적:1,043명)"
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,란 12.3,,0.6%,990,,0.6% (누적:990명)
2026-06-08 04:57:35 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,노트북,,0.6%,917,,0.6% (누적:917명)
