collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-07-21 01:23:17 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,스파이더맨: 브랜드 뉴 데이,,47.8%,270922,,"47.8% (270,922명)"
2026-07-21 01:23:17 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,호프,,27.0%,152834,,"27.0% (152,834명)"
2026-07-21 01:23:17 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,오디세이,,13.0%,73582,,"13.0% (73,582명)"
2026-07-21 01:23:17 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,미니언즈 & 몬스터즈,,2.3%,12963,,"2.3% (12,963명)"
2026-07-21 01:23:17 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,모아나,,1.6%,9209,,"1.6% (9,209명)"
