collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,오디세이,,55.1%,425244,,"55.1% (누적:425,244명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,암살자,들,6.3%,48252,,"6.3% (누적:48,252명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,스파이더맨: 브랜드 뉴 데이,,6.0%,46616,,"6.0% (누적:46,616명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,인턴,,5.9%,45628,,"5.9% (누적:45,628명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,옵세션,,4.1%,31669,,"4.1% (누적:31,669명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,경주기행,,2.2%,16927,,"2.2% (누적:16,927명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,비광,,2.1%,16419,,"2.1% (누적:16,419명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,싱 어게인,,2.1%,15825,,"2.1% (누적:15,825명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,호프,,1.5%,11946,,"1.5% (누적:11,946명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,타짜: 벨제붑의 노래,,1.2%,9469,,"1.2% (누적:9,469명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,더 드라마,,1.1%,8666,,"1.1% (누적:8,666명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,딥 워터,,0.7%,5509,,"0.7% (누적:5,509명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,사랑의 하츄핑: 고래보석의 전설,,0.7%,5430,,"0.7% (누적:5,430명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,아이유 콘서트 : 더 골든 아워,,0.6%,4733,,"0.6% (누적:4,733명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,이누야샤 극장판: 시대를 초월한 마음,,0.6%,4464,,"0.6% (누적:4,464명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,아버지의 집밥,,0.6%,4440,,"0.6% (누적:4,440명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,모모와 다락방의 수상한 요괴들,,0.5%,3733,,"0.5% (누적:3,733명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,아이유 콘서트 : 더 위닝,,0.5%,3586,,"0.5% (누적:3,586명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,고스트밴드,,0.5%,3505,,"0.5% (누적:3,505명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,연옥: 살인마들의 자치구역,,0.4%,3277,,"0.4% (누적:3,277명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,네 얼굴로는 울 수 없어,,0.4%,2964,,"0.4% (누적:2,964명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,22,명탐정 코난: 하이웨이의 타천사,,0.4%,2740,,"0.4% (누적:2,740명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,23,포가튼 아일랜드,,0.3%,2669,,"0.3% (누적:2,669명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,24,오아시스: 돈 룩 백 인 앵거,,0.3%,2665,,"0.3% (누적:2,665명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,25,오크 스트리트의 마지막 날,,0.3%,2619,,"0.3% (누적:2,619명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,26,인 더 그레이,,0.3%,2060,,"0.3% (누적:2,060명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,27,극장판 기븐 – 바다로,,0.2%,1856,,"0.2% (누적:1,856명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,28,위커 맨: 파이널 컷,,0.2%,1735,,"0.2% (누적:1,735명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,29,내 이름은,,0.2%,1684,,"0.2% (누적:1,684명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,30,핵소 고지,,0.2%,1590,,"0.2% (누적:1,590명)"
2026-09-05 03:06:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,31,사탄탱고,,0.2%,1469,,"0.2% (누적:1,469명)"
