collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-07-07 02:42:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,호프,,44.9%,111219,,"44.9% (누적:111,219명)"
2026-07-07 02:42:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,모아나,,18.0%,44556,,"18.0% (누적:44,556명)"
2026-07-07 02:42:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,토이 스토리 5,,7.3%,18012,,"7.3% (누적:18,012명)"
2026-07-07 02:42:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,눈동자,,6.6%,16378,,"6.6% (누적:16,378명)"
2026-07-07 02:42:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,마티 슈프림,,2.3%,5733,,"2.3% (누적:5,733명)"
2026-07-07 02:42:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,드림 애니멀즈: 더무비,,2.1%,5173,,"2.1% (누적:5,173명)"
2026-07-07 02:42:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,하나 코리아,,1.5%,3736,,"1.5% (누적:3,736명)"
2026-07-07 02:42:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,블리치 천년혈전 편 : 화진담,,1.5%,3699,,"1.5% (누적:3,699명)"
2026-07-07 02:42:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,앤팀 브이알 콘서트 : 바운드리스,,1.5%,3656,,"1.5% (누적:3,656명)"
2026-07-07 02:42:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,키퍼,,1.4%,3392,,"1.4% (누적:3,392명)"
2026-07-07 02:42:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,군체,,1.3%,3140,,"1.3% (누적:3,140명)"
