collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,군체,,41.5%,224200,,"41.5% (누적:224,200명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,백룸,,12.5%,67795,,"12.5% (누적:67,795명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,와일드 씽,,10.2%,54947,,"10.2% (누적:54,947명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,마이클,,6.6%,35584,,"6.6% (누적:35,584명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,만달로리안과 그로구,,6.2%,33509,,"6.2% (누적:33,509명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,,5.3%,28435,,"5.3% (누적:28,435명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,이상한 과자 가게 전천당,,4.5%,24209,,"4.5% (누적:24,209명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,슈퍼 마리오 갤럭시,,1.2%,6732,,"1.2% (누적:6,732명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,,1.2%,6596,,"1.2% (누적:6,596명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,극장판 호빵맨: 세균맨과 그림책의 루룬,,1.1%,5710,,"1.1% (누적:5,710명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,신극장판 은혼: 요시와라 대염상,,0.9%,4753,,"0.9% (누적:4,753명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,카드캡터 체리 극장판,,0.7%,3689,,"0.7% (누적:3,689명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,뒷자리에 태워줘,,0.7%,3516,,"0.7% (누적:3,516명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,미세스 그린 애플 매지컬 10주년 기념 라이브 ~피오르드~ 온 스크린,,0.6%,3457,,"0.6% (누적:3,457명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,악마는 프라다를 입는다 2,,0.6%,3065,,"0.6% (누적:3,065명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,순례자들은 왜 돌아오지 않는가,,0.3%,1859,,"0.3% (누적:1,859명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,쇼타씨의 마지막 출장,,0.3%,1798,,"0.3% (누적:1,798명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,프로젝트 헤일메리,,0.3%,1767,,"0.3% (누적:1,767명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,로메리아,,0.3%,1722,,"0.3% (누적:1,722명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,유레카,,0.3%,1675,,"0.3% (누적:1,675명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,파이널 피스,,0.3%,1578,,"0.3% (누적:1,578명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,22,극장판 내 마음의 위험한 녀석,,0.3%,1419,,"0.3% (누적:1,419명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,23,로봇 드림,,0.3%,1377,,"0.3% (누적:1,377명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,24,미세스 그린 애플 매지컬 10주년 다큐멘터리 필름 ~디 오리진~,,0.2%,1249,,"0.2% (누적:1,249명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,25,고독의 오후,,0.2%,1115,,"0.2% (누적:1,115명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,26,울프 토템,,0.2%,1028,,"0.2% (누적:1,028명)"
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,27,싱 스트리트,,0.2%,871,,0.2% (누적:871명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,28,납치 48시간,,0.2%,870,,0.2% (누적:870명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,29,최후의 만찬,,0.1%,647,,0.1% (누적:647명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,30,다윗,,0.1%,621,,0.1% (누적:621명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,31,아가씨,확장판,0.1%,611,,0.1% (누적:611명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,32,왕과 사는 남자,,0.1%,555,,0.1% (누적:555명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,33,이반리 장만옥,,0.1%,550,,0.1% (누적:550명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,34,상자 속의 양,,0.1%,514,,0.1% (누적:514명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,35,살목지,,0.1%,500,,0.1% (누적:500명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,36,신사: 악귀의 속삭임,,0.1%,437,,0.1% (누적:437명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,37,박쥐,확장판,0.1%,379,,0.1% (누적:379명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,38,남태령,,0.1%,374,,0.1% (누적:374명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,39,엔조,,0.1%,343,,0.1% (누적:343명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,40,신의악단,,0.1%,318,,0.1% (누적:318명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,41,란 12.3,,0.1%,297,,0.1% (누적:297명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,42,"극장판 총집편 걸즈 밴드 크라이 있잖아, 미래.",,0.1%,289,,0.1% (누적:289명)
2026-05-30 06:28:41 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,43,콜럼버스,,0.0%,270,,0.0% (누적:270명)
