collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-05-17 21:21:02 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,군체,,46.9%,107762,,"46.9% (107,762명)"
2026-05-17 21:21:02 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,마이클,,14.2%,32665,,"14.2% (32,665명)"
2026-05-17 21:21:02 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,와일드 씽,,8.7%,19934,,"8.7% (19,934명)"
2026-05-17 21:21:02 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,신극장판 은혼: 요시와라 대염상,,4.3%,9802,,"4.3% (9,802명)"
2026-05-17 21:21:02 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,악마는 프라다를 입는다 2,,3.3%,7647,,"3.3% (7,647명)"
