collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,1,오디세이,,26.9%,,,"1 | 오디세이 | 2026-08-05 | 26.9% | 2,093,630,870 | 121,303,755,920 | 126,843 | 10,834,334"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,2,암살자,들,15.8%,,,"2 | 암살자(들) | 2026-09-23 | 15.8% | 856,125,040 | 8,460,000 | 74,487 | 657"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,3,인턴,,14.8%,,,"3 | 인턴 | 2026-09-16 | 14.8% | 755,418,870 | 234,433,270 | 69,996 | 21,448"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,4,타짜: 벨제붑의 노래,,10.7%,,,"4 | 타짜: 벨제붑의 노래 | 2026-09-23 | 10.7% | 506,935,000 | 61,775,760 | 50,691 | 5,800"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,5,부활남: 더 레드,,4.1%,,,"5 | 부활남: 더 레드 | 2026-09-30 | 4.1% | 218,658,600 | 0 | 19,154 | 0"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,6,옵세션,,3.4%,,,"6 | 옵세션 | 2026-09-02 | 3.4% | 168,899,150 | 5,360,479,760 | 16,257 | 500,507"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,7,레지던트 이블: 0번째 밤,,2.1%,,,"7 | 레지던트 이블: 0번째 밤 | 2026-09-17 | 2.1% | 89,381,100 | 0 | 10,000 | 0"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,8,엔하이픈 브이알콘서트 : 데스티니,,1.8%,,,"8 | 엔하이픈 브이알콘서트 : 데스티니 | 2026-09-18 | 1.8% | 292,950,000 | 0 | 8,370 | 0"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,9,시간을 달리는 소녀,,1.7%,,,"9 | 시간을 달리는 소녀 | 2007-06-14 | 1.7% | 92,397,500 | 788,416,750 | 7,956 | 111,665"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,10,스파이더맨: 브랜드 뉴 데이,,1.5%,,,"10 | 스파이더맨: 브랜드 뉴 데이 | 2026-07-29 | 1.5% | 62,863,950 | 92,545,381,030 | 7,210 | 8,938,826"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,11,아이유 콘서트 : 더 위닝,,1.4%,,,"11 | 아이유 콘서트 : 더 위닝 | 2025-01-24 | 1.4% | 120,546,000 | 2,076,626,500 | 6,697 | 75,872"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,12,더 드라마,,1.1%,,,"12 | 더 드라마 | 2026-09-09 | 1.1% | 50,803,120 | 587,653,270 | 5,132 | 58,040"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,13,디지몬 어드벤처 : 운명적 만남 & 우리들의 워 게임!,,1.1%,,,"13 | 디지몬 어드벤처 : 운명적 만남 & 우리들의 워 게임! | 2026-09-16 | 1.1% | 55,162,720 | 0 | 5,037 | 0"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,14,호프,,1.1%,,,"14 | 호프 | 2026-07-15 | 1.1% | 58,013,800 | 48,903,744,820 | 5,020 | 4,570,091"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,15,가능한 사랑,,0.9%,,,"15 | 가능한 사랑 | 2026-09-23 | 0.9% | 44,712,500 | 3,735,000 | 4,245 | 415"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,16,포가튼 아일랜드,,0.8%,,,"16 | 포가튼 아일랜드 | 2026-09-23 | 0.8% | 39,916,000 | 118,516,000 | 4,000 | 11,772"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,17,아비정전 4K 리마스터링,,0.8%,,,"17 | 아비정전 4K 리마스터링 | 1990-12-22 | 0.8% | 36,916,650 | 342,155,340 | 3,586 | 41,950"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,18,딥 워터,,0.7%,,,"18 | 딥 워터 | 2026-09-09 | 0.7% | 17,304,550 | 100,900,950 | 3,287 | 12,772"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,19,극장판 치이카와: 인어 섬의 비밀,,0.7%,,,"19 | 극장판 치이카와: 인어 섬의 비밀 | 2026-09-30 | 0.7% | 44,412,350 | 0 | 3,254 | 0"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,20,철들 무렵,,0.6%,,,"20 | 철들 무렵 | 2026-09-16 | 0.6% | 24,038,200 | 18,996,000 | 2,774 | 2,029"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,21,싱 어게인,,0.5%,,,"21 | 싱 어게인 | 2026-09-02 | 0.5% | 19,143,200 | 875,635,650 | 2,213 | 91,886"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,22,내 이름은,,0.5%,,,"22 | 내 이름은 | 2026-04-15 | 0.5% | 19,854,000 | 1,986,095,300 | 2,206 | 222,183"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,23,아가미,,0.4%,,,"23 | 아가미 | 2026-09-09 | 0.4% | 17,055,100 | 115,234,660 | 1,855 | 12,158"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,24,오아시스: 돈 룩 백 인 앵거,,0.3%,,,"24 | 오아시스: 돈 룩 백 인 앵거 | 2026-09-09 | 0.3% | 16,642,800 | 191,414,800 | 1,467 | 17,173"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,25,명탐정 코난: 하이웨이의 타천사,,0.3%,,,"25 | 명탐정 코난: 하이웨이의 타천사 | 2026-08-12 | 0.3% | 12,555,800 | 4,288,284,230 | 1,284 | 428,364"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,26,다이노 패밀리: 사고뭉치 공룡 탐험대,,0.3%,,,"26 | 다이노 패밀리: 사고뭉치 공룡 탐험대 | 2026-10-07 | 0.3% | 8,813,000 | 0 | 1,259 | 0"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,27,이누야샤 극장판: 시대를 초월한 마음,,0.2%,,,"27 | 이누야샤 극장판: 시대를 초월한 마음 | 2026-09-09 | 0.2% | 11,643,600 | 224,837,500 | 1,136 | 20,817"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,28,경주기행,,0.2%,,,"28 | 경주기행 | 2026-08-26 | 0.2% | 10,526,900 | 3,218,845,730 | 1,117 | 335,377"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,29,연옥: 살인마들의 자치구역,,0.2%,,,"29 | 연옥: 살인마들의 자치구역 | 2026-09-09 | 0.2% | 7,838,350 | 88,457,900 | 1,040 | 10,472"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,30,토리노의 말,,0.2%,,,"30 | 토리노의 말 | 2012-02-23 | 0.2% | 9,295,300 | 28,150,000 | 875 | 3,673"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,31,카를로비바리,,0.2%,,,"31 | 카를로비바리 | 2026-09-09 | 0.2% | 6,931,000 | 30,937,350 | 865 | 3,702"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,32,햄넷,,0.2%,,,"32 | 햄넷 | 2026-02-25 | 0.2% | 8,161,500 | 646,890,790 | 800 | 67,396"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,33,가족여행,,0.2%,,,"33 | 가족여행 | 2026-09-30 | 0.2% | 7,038,000 | 10,218,000 | 791 | 1,094"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,34,이방인,,0.2%,,,"34 | 이방인 | 2026-09-30 | 0.2% | 8,444,900 | 1,916,000 | 770 | 194"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,35,네 얼굴로는 울 수 없어,,0.2%,,,"35 | 네 얼굴로는 울 수 없어 | 2026-09-09 | 0.2% | 5,802,850 | 73,908,800 | 711 | 8,749"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,36,극장판 기븐 – 바다로,,0.1%,,,"36 | 극장판 기븐 – 바다로 | 2026-08-26 | 0.1% | 6,720,900 | 160,784,540 | 651 | 12,938"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,37,사탄탱고,,0.1%,,,"37 | 사탄탱고 |  | 0.1% | 21,630,000 | 71,619,000 | 618 | 3,049"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,38,어떻게 해야 했을까?,,0.1%,,,"38 | 어떻게 해야 했을까? | 2026-07-29 | 0.1% | 5,346,050 | 1,015,592,960 | 591 | 101,713"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,39,인간 혐오자,,0.1%,,,"39 | 인간 혐오자 |  | 0.1% | 10,264,400 | 0 | 531 | 0"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,40,베크마이스터 하모니즈,,0.1%,,,"40 | 베크마이스터 하모니즈 |  | 0.1% | 5,651,000 | 543,000 | 526 | 97"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,41,비광,,0.1%,,,"41 | 비광 | 2026-09-02 | 0.1% | 4,071,250 | 891,490,930 | 483 | 98,689"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,42,파멸,,0.1%,,,"42 | 파멸 |  | 0.1% | 5,008,550 | 776,000 | 480 | 116"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,43,모모와 다락방의 수상한 요괴들,,0.1%,,,"43 | 모모와 다락방의 수상한 요괴들 | 2012-07-05 | 0.1% | 2,870,900 | 2,101,013,100 | 436 | 315,180"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,44,"청년 조용기: 신을 저주하던 청년, 시대를 긋는 종이 되다",,0.1%,,,"44 | 청년 조용기: 신을 저주하던 청년, 시대를 긋는 종이 되다 | 2026-09-11 | 0.1% | 3,964,100 | 212,790,600 | 421 | 20,972"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,45,"올공, 2030 나라를 살리다",,0.1%,,,"45 | 올공, 2030 나라를 살리다 | 2026-09-09 | 0.1% | 4,023,050 | 65,868,700 | 414 | 6,615"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,46,마루 밑 아리에티,,0.1%,,,"46 | 마루 밑 아리에티 | 2010-09-09 | 0.1% | 4,478,000 | 7,990,168,350 | 411 | 1,099,633"
2026-09-15 04:44:08 KST,https://www.kobis.or.kr/kobis/business/stat/boxs/findRealTicketList.do,47,코다,,0.1%,,,"47 | 코다 | 2021-08-31 | 0.1% | 4,731,200 | 741,656,099 | 403 | 82,803"
