collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,군체,,46.5%,243638,,"46.5% (누적:243,638명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,마이클,,12.3%,64393,,"12.3% (누적:64,393명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,와일드 씽,,7.9%,41522,,"7.9% (누적:41,522명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,,5.7%,29704,,"5.7% (누적:29,704명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,만달로리안과 그로구,,4.6%,23878,,"4.6% (누적:23,878명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,백룸,,3.8%,19905,,"3.8% (누적:19,905명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,슈퍼 마리오 갤럭시,,3.3%,17542,,"3.3% (누적:17,542명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,악마는 프라다를 입는다 2,,1.7%,9117,,"1.7% (누적:9,117명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,,1.4%,7230,,"1.4% (누적:7,230명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,신극장판 은혼: 요시와라 대염상,,1.2%,6438,,"1.2% (누적:6,438명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,이상한 과자 가게 전천당,,1.1%,5858,,"1.1% (누적:5,858명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,뒷자리에 태워줘,,0.9%,4831,,"0.9% (누적:4,831명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,프로젝트 헤일메리,,0.9%,4581,,"0.9% (누적:4,581명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,극장판 호빵맨: 세균맨과 그림책의 루룬,,0.8%,3996,,"0.8% (누적:3,996명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,미세스 그린 애플 매지컬 10주년 기념 라이브 ~피오르드~ 온 스크린,,0.8%,3965,,"0.8% (누적:3,965명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,파이널 피스,,0.6%,3201,,"0.6% (누적:3,201명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,카드캡터 체리 극장판,,0.5%,2702,,"0.5% (누적:2,702명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,살목지,,0.5%,2684,,"0.5% (누적:2,684명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,상자 속의 양,,0.4%,2303,,"0.4% (누적:2,303명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,극장판 내 마음의 위험한 녀석,,0.4%,1896,,"0.4% (누적:1,896명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,미세스 그린 애플 매지컬 10주년 다큐멘터리 필름 ~디 오리진~,,0.3%,1792,,"0.3% (누적:1,792명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,22,왕과 사는 남자,,0.3%,1717,,"0.3% (누적:1,717명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,23,탑건: 매버릭,,0.3%,1361,,"0.3% (누적:1,361명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,24,교생실습,,0.2%,1092,,"0.2% (누적:1,092명)"
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,25,유레카,,0.2%,950,,0.2% (누적:950명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,26,남태령,,0.2%,926,,0.2% (누적:926명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,27,쇼타씨의 마지막 출장,,0.2%,911,,0.2% (누적:911명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,28,이프 온리,,0.2%,835,,0.2% (누적:835명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,29,순례자들은 왜 돌아오지 않는가,,0.1%,614,,0.1% (누적:614명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,30,싱 스트리트,,0.1%,579,,0.1% (누적:579명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,31,로메리아,,0.1%,457,,0.1% (누적:457명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,32,란 12.3,,0.1%,448,,0.1% (누적:448명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,33,펀치 드렁크 러브,,0.1%,447,,0.1% (누적:447명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,34,다윗,,0.1%,407,,0.1% (누적:407명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,35,마이 샤이니 월드,,0.1%,400,,0.1% (누적:400명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,36,내 이름은,,0.1%,388,,0.1% (누적:388명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,37,짱구,,0.1%,351,,0.1% (누적:351명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,38,울프 토템,,0.1%,349,,0.1% (누적:349명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,39,비발디와 나,,0.1%,339,,0.1% (누적:339명)
2026-05-25 03:14:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,40,팬텀 스레드,,0.1%,320,,0.1% (누적:320명)
