collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,오디세이,,46.4%,208204,,"46.4% (누적:208,204명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,암살자,들,11.3%,50783,,"11.3% (누적:50,783명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,인턴,,10.8%,48605,,"10.8% (누적:48,605명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,옵세션,,3.2%,14400,,"3.2% (누적:14,400명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,호프,,2.9%,12990,,"2.9% (누적:12,990명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,타짜: 벨제붑의 노래,,2.7%,11915,,"2.7% (누적:11,915명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,스파이더맨: 브랜드 뉴 데이,,2.2%,10052,,"2.2% (누적:10,052명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,더 드라마,,1.9%,8320,,"1.9% (누적:8,320명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,이누야샤 극장판: 시대를 초월한 마음,,1.4%,6280,,"1.4% (누적:6,280명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,싱 어게인,,1.3%,6000,,"1.3% (누적:6,000명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,딥 워터,,1.3%,5708,,"1.3% (누적:5,708명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,아이유 콘서트 : 더 골든 아워,,1.2%,5357,,"1.2% (누적:5,357명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,오아시스: 돈 룩 백 인 앵거,,1.1%,4750,,"1.1% (누적:4,750명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,경주기행,,1.0%,4708,,"1.0% (누적:4,708명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,아버지의 집밥,,1.0%,4554,,"1.0% (누적:4,554명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,비광,,0.9%,4007,,"0.9% (누적:4,007명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,아이유 콘서트 : 더 위닝,,0.9%,3863,,"0.9% (누적:3,863명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,연옥: 살인마들의 자치구역,,0.8%,3419,,"0.8% (누적:3,419명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,네 얼굴로는 울 수 없어,,0.7%,3078,,"0.7% (누적:3,078명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,내 이름은,,0.5%,2206,,"0.5% (누적:2,206명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,사탄탱고,,0.3%,1549,,"0.3% (누적:1,549명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,22,사진의 얼굴,,0.2%,1082,,"0.2% (누적:1,082명)"
2026-09-07 02:30:24 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,23,가족여행,,0.2%,1001,,"0.2% (누적:1,001명)"
