collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,오디세이,,41.2%,262416,,"41.2% (누적:262,416명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,암살자,들,8.8%,56012,,"8.8% (누적:56,012명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,인턴,,8.4%,53387,,"8.4% (누적:53,387명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,옵세션,,6.1%,38799,,"6.1% (누적:38,799명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,스파이더맨: 브랜드 뉴 데이,,5.0%,31782,,"5.0% (누적:31,782명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,타짜: 벨제붑의 노래,,4.7%,30003,,"4.7% (누적:30,003명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,부활남: 더 레드,,2.2%,14102,,"2.2% (누적:14,102명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,더 드라마,,2.1%,13395,,"2.1% (누적:13,395명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,호프,,2.1%,13371,,"2.1% (누적:13,371명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,엔하이픈 브이알콘서트 : 데스티니,,1.3%,8441,,"1.3% (누적:8,441명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,포가튼 아일랜드,,1.0%,6225,,"1.0% (누적:6,225명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,이누야샤 극장판: 시대를 초월한 마음,,0.9%,5558,,"0.9% (누적:5,558명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,오아시스: 돈 룩 백 인 앵거,,0.8%,5163,,"0.8% (누적:5,163명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,비광,,0.8%,5126,,"0.8% (누적:5,126명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,아가미,,0.8%,4825,,"0.8% (누적:4,825명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,아이유 콘서트 : 더 위닝,,0.7%,4595,,"0.7% (누적:4,595명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,아이유 콘서트 : 더 골든 아워,,0.7%,4504,,"0.7% (누적:4,504명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,아비정전 4K 리마스터링,,0.7%,4192,,"0.7% (누적:4,192명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,경주기행,,0.6%,4065,,"0.6% (누적:4,065명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,연옥: 살인마들의 자치구역,,0.6%,4027,,"0.6% (누적:4,027명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,22,네 얼굴로는 울 수 없어,,0.6%,3997,,"0.6% (누적:3,997명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,23,딥 워터,,0.5%,3255,,"0.5% (누적:3,255명)"
2026-09-11 03:06:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,24,리틀 드래곤: 몬스터 섬의 비밀,,0.4%,2516,,"0.4% (누적:2,516명)"
