collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,토이 스토리 5,,20.9%,34223,,"20.9% (누적:34,223명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,마티 슈프림,,16.9%,27709,,"16.9% (누적:27,709명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,눈동자,,11.1%,18143,,"11.1% (누적:18,143명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,극장판 도라에몽: 신 진구의 해저비밀성,,5.9%,9600,,"5.9% (누적:9,600명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,그린랜드 2: 마이그레이션,,5.6%,9166,,"5.6% (누적:9,166명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,군체,,4.1%,6689,,"4.1% (누적:6,689명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,레디 오어 낫: 죽음의 숨바꼭질,,2.7%,4481,,"2.7% (누적:4,481명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,앤팀 브이알 콘서트 : 바운드리스,,2.6%,4213,,"2.6% (누적:4,213명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,와일드 씽,,2.5%,4033,,"2.5% (누적:4,033명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,슈퍼걸,,1.9%,3138,,"1.9% (누적:3,138명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,극장판 암살교실 모두의 시간,,1.9%,3066,,"1.9% (누적:3,066명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,그림자 아이,,1.8%,2894,,"1.8% (누적:2,894명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,드림 애니멀즈: 더무비,,1.8%,2878,,"1.8% (누적:2,878명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,블리치 천년혈전 편 : 화진담,,1.5%,2507,,"1.5% (누적:2,507명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,백룸,,1.5%,2488,,"1.5% (누적:2,488명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,와인드업: 더 무비,,1.1%,1861,,"1.1% (누적:1,861명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,정동원 팬콘서트 필름 : 다시 만나는 길,,1.1%,1855,,"1.1% (누적:1,855명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,짝사랑 세계,,1.0%,1565,,"1.0% (누적:1,565명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,,0.9%,1396,,"0.9% (누적:1,396명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,너만 보이는 날,,0.8%,1310,,"0.8% (누적:1,310명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,훌라 걸스,,0.7%,1179,,"0.7% (누적:1,179명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,22,싱 스트리트,,0.7%,1158,,"0.7% (누적:1,158명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,23,다윗,,0.7%,1138,,"0.7% (누적:1,138명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,24,하나 코리아,,0.7%,1067,,"0.7% (누적:1,067명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,25,해피엔드,,0.6%,1036,,"0.6% (누적:1,036명)"
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,26,에픽: 엘비스 프레슬리 콘서트,,0.6%,963,,0.6% (누적:963명)
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,27,비긴 어게인,,0.5%,834,,0.5% (누적:834명)
2026-06-30 02:36:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,28,여름의 카메라,,0.5%,746,,0.5% (누적:746명)
