collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-07-15 01:13:51 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,호프,,68.2%,602021,,"68.2% (602,021명)"
2026-07-15 01:13:51 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,스파이더맨: 브랜드 뉴 데이,,11.4%,100380,,"11.4% (100,380명)"
2026-07-15 01:13:51 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,미니언즈 & 몬스터즈,,6.2%,54739,,"6.2% (54,739명)"
2026-07-15 01:13:51 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,오디세이,,4.8%,42629,,"4.8% (42,629명)"
2026-07-15 01:13:51 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,모아나,,1.8%,16071,,"1.8% (16,071명)"
