collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,호프,,46.0%,323792,,"46.0% (누적:323,792명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,스파이더맨: 브랜드 뉴 데이,,14.5%,102220,,"14.5% (누적:102,220명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,모아나,,12.1%,85488,,"12.1% (누적:85,488명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,토이 스토리 5,,6.1%,42963,,"6.1% (누적:42,963명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,오디세이,,4.9%,34335,,"4.9% (누적:34,335명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,눈동자,,4.2%,29888,,"4.2% (누적:29,888명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,미니언즈 & 몬스터즈,,2.7%,18850,,"2.7% (누적:18,850명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,다윗,,1.7%,11751,,"1.7% (누적:11,751명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,마티 슈프림,,1.2%,8405,,"1.2% (누적:8,405명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,군체,,0.7%,4807,,"0.7% (누적:4,807명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,드림 애니멀즈: 더무비,,0.5%,3724,,"0.5% (누적:3,724명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,극장판 도라에몽: 신 진구의 해저비밀성,,0.4%,2891,,"0.4% (누적:2,891명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,블리치 천년혈전 편 : 화진담,,0.4%,2885,,"0.4% (누적:2,885명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,시크릿 에이전트,,0.3%,2360,,"0.3% (누적:2,360명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,앤팀 브이알 콘서트 : 바운드리스,,0.3%,2166,,"0.3% (누적:2,166명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,와일드 씽,,0.2%,1654,,"0.2% (누적:1,654명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,하나 코리아,,0.2%,1587,,"0.2% (누적:1,587명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,극장판 암살교실 모두의 시간,,0.2%,1369,,"0.2% (누적:1,369명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,백룸,,0.2%,1320,,"0.2% (누적:1,320명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,그린랜드 2: 마이그레이션,,0.2%,1210,,"0.2% (누적:1,210명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,회로,,0.2%,1062,,"0.2% (누적:1,062명)"
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,22,날씨의 아이,,0.1%,844,,0.1% (누적:844명)
2026-07-12 00:55:19 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,23,짝사랑 세계,,0.1%,842,,0.1% (누적:842명)
