collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-06-09 06:28:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,디스클로저 데이,,25.3%,52394,,"25.3% (누적:52,394명)"
2026-06-09 06:28:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,군체,,14.5%,30059,,"14.5% (누적:30,059명)"
2026-06-09 06:28:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,와일드 씽,,12.2%,25325,,"12.2% (누적:25,325명)"
2026-06-09 06:28:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,상자 속의 양,,6.4%,13210,,"6.4% (누적:13,210명)"
2026-06-09 06:28:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,백룸,,5.6%,11684,,"5.6% (누적:11,684명)"
2026-06-09 06:28:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,,3.9%,7974,,"3.9% (누적:7,974명)"
2026-06-09 06:28:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,싱 스트리트,,3.2%,6600,,"3.2% (누적:6,600명)"
2026-06-09 06:28:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,신사: 악귀의 속삭임,,3.0%,6213,,"3.0% (누적:6,213명)"
2026-06-09 06:28:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,마이클,,2.1%,4258,,"2.1% (누적:4,258명)"
2026-06-09 06:28:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,울프 토템,,1.9%,3918,,"1.9% (누적:3,918명)"
2026-06-09 06:28:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,만달로리안과 그로구,,1.5%,3151,,"1.5% (누적:3,151명)"
2026-06-09 06:28:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,쏜애플 '나의 세기' 익스텐디드 플레이 필름,,1.5%,3092,,"1.5% (누적:3,092명)"
2026-06-09 06:28:08 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,눈동자,,1.4%,2907,,"1.4% (누적:2,907명)"
