collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,군체,,49.9%,314765,,"49.9% (누적:314,765명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,마이클,,14.0%,88522,,"14.0% (누적:88,522명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,와일드 씽,,6.1%,38470,,"6.1% (누적:38,470명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,,4.8%,30149,,"4.8% (누적:30,149명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,슈퍼 마리오 갤럭시,,2.8%,17572,,"2.8% (누적:17,572명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,만달로리안과 그로구,,2.7%,16800,,"2.7% (누적:16,800명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,신극장판 은혼: 요시와라 대염상,,2.3%,14536,,"2.3% (누적:14,536명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,백룸,,2.2%,13950,,"2.2% (누적:13,950명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,악마는 프라다를 입는다 2,,1.8%,11074,,"1.8% (누적:11,074명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,,1.6%,9816,,"1.6% (누적:9,816명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,극장판 호빵맨: 세균맨과 그림책의 루룬,,1.4%,9083,,"1.4% (누적:9,083명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,극장판 내 마음의 위험한 녀석,,1.0%,6080,,"1.0% (누적:6,080명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,이상한 과자 가게 전천당,,0.7%,4631,,"0.7% (누적:4,631명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,프로젝트 헤일메리,,0.7%,4341,,"0.7% (누적:4,341명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,뒷자리에 태워줘,,0.7%,4317,,"0.7% (누적:4,317명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,살목지,,0.6%,3699,,"0.6% (누적:3,699명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,미세스 그린 애플 매지컬 10주년 기념 라이브 ~피오르드~ 온 스크린,,0.5%,3464,,"0.5% (누적:3,464명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,파이널 피스,,0.5%,3079,,"0.5% (누적:3,079명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,탑건: 매버릭,,0.4%,2336,,"0.4% (누적:2,336명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,상자 속의 양,,0.4%,2303,,"0.4% (누적:2,303명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,교생실습,,0.3%,2110,,"0.3% (누적:2,110명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,22,미세스 그린 애플 매지컬 10주년 다큐멘터리 필름 ~디 오리진~,,0.3%,1682,,"0.3% (누적:1,682명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,23,왕과 사는 남자,,0.2%,1552,,"0.2% (누적:1,552명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,24,쇼타씨의 마지막 출장,,0.2%,1496,,"0.2% (누적:1,496명)"
2026-05-23 05:48:27 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,25,카드캡터 체리 극장판,,0.2%,1451,,"0.2% (누적:1,451명)"
