collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,오디세이,,63.7%,592598,,"63.7% (누적:592,598명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,스파이더맨: 브랜드 뉴 데이,,21.2%,197725,,"21.2% (누적:197,725명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,오케이 마담2,,3.6%,33909,,"3.6% (누적:33,909명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,명탐정 코난: 하이웨이의 타천사,,3.4%,31801,,"3.4% (누적:31,801명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,사랑의 하츄핑: 고래보석의 전설,,2.4%,22700,,"2.4% (누적:22,700명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,호프,,1.0%,8954,,"1.0% (누적:8,954명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,청년 조용기,,0.7%,6232,,"0.7% (누적:6,232명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,어떻게 해야 했을까?,,0.4%,3658,,"0.4% (누적:3,658명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,경주기행,,0.4%,3643,,"0.4% (누적:3,643명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,에이티즈 : 라이트 더 웨이 인 시네마,,0.3%,3251,,"0.3% (누적:3,251명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,보헤미안 랩소디,,0.3%,3184,,"0.3% (누적:3,184명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,미니언즈 & 몬스터즈,,0.2%,1446,,"0.2% (누적:1,446명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,퍼피 구조대: 더 다이노 무비,,0.1%,1388,,"0.1% (누적:1,388명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,투모로우바이투게더 브이알 콘서트 : 엔드리스 라이드,,0.1%,1205,,"0.1% (누적:1,205명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,애정만세,,0.1%,1198,,"0.1% (누적:1,198명)"
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,고스트밴드,,0.1%,962,,0.1% (누적:962명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,다윗,,0.1%,860,,0.1% (누적:860명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,토이 스토리 5,,0.1%,839,,0.1% (누적:839명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,마티 슈프림,,0.1%,797,,0.1% (누적:797명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,몽상가들,,0.1%,731,,0.1% (누적:731명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,마루 밑 아리에티,,0.1%,613,,0.1% (누적:613명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,22,위커 맨: 파이널 컷,,0.1%,566,,0.1% (누적:566명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,23,워페어,,0.1%,496,,0.1% (누적:496명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,24,경멸,,0.1%,483,,0.1% (누적:483명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,25,군체,,0.1%,472,,0.1% (누적:472명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,26,모아나,,0.0%,416,,0.0% (누적:416명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,27,빈집의 연인들,,0.0%,405,,0.0% (누적:405명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,28,하류,,0.0%,348,,0.0% (누적:348명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,29,지느러미,,0.0%,336,,0.0% (누적:336명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,30,킬러들의 쇼핑몰 2,,0.0%,288,,0.0% (누적:288명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,31,시크릿 에이전트,,0.0%,225,,0.0% (누적:225명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,32,신사는 금발을 좋아해,,0.0%,208,,0.0% (누적:208명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,33,싸이보그지만 괜찮아,,0.0%,201,,0.0% (누적:201명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,34,신극장판 은혼: 요시와라 대염상,,0.0%,191,,0.0% (누적:191명)
2026-08-10 00:30:18 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,35,태풍 클럽,,0.0%,172,,0.0% (누적:172명)
