collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,오디세이,,31.0%,130004,,"31.0% (누적:130,004명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,암살자,들,14.9%,62414,,"14.9% (누적:62,414명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,인턴,,14.7%,61688,,"14.7% (누적:61,688명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,타짜: 벨제붑의 노래,,9.4%,39336,,"9.4% (누적:39,336명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,부활남: 더 레드,,4.0%,16818,,"4.0% (누적:16,818명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,옵세션,,3.2%,13405,,"3.2% (누적:13,405명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,엔하이픈 브이알콘서트 : 데스티니,,2.2%,9121,,"2.2% (누적:9,121명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,스파이더맨: 브랜드 뉴 데이,,1.9%,8128,,"1.9% (누적:8,128명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,호프,,1.6%,6790,,"1.6% (누적:6,790명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,아이유 콘서트 : 더 위닝,,1.5%,6421,,"1.5% (누적:6,421명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,시간을 달리는 소녀,,1.5%,6209,,"1.5% (누적:6,209명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,더 드라마,,1.2%,5179,,"1.2% (누적:5,179명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,포가튼 아일랜드,,0.8%,3563,,"0.8% (누적:3,563명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,극장판 치이카와: 인어 섬의 비밀,,0.8%,3255,,"0.8% (누적:3,255명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,디지몬 어드벤처 : 운명적 만남 & 우리들의 워 게임!,,0.8%,3154,,"0.8% (누적:3,154명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,싱 어게인,,0.7%,3083,,"0.7% (누적:3,083명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,내 이름은,,0.5%,2206,,"0.5% (누적:2,206명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,레지던트 이블: 0번째 밤,,0.4%,1860,,"0.4% (누적:1,860명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,아비정전 4K 리마스터링,,0.4%,1508,,"0.4% (누적:1,508명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,연옥: 살인마들의 자치구역,,0.4%,1475,,"0.4% (누적:1,475명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,가능한 사랑,,0.3%,1461,,"0.3% (누적:1,461명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,22,오아시스: 돈 룩 백 인 앵거,,0.3%,1439,,"0.3% (누적:1,439명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,23,다이노 패밀리: 사고뭉치 공룡 탐험대,,0.3%,1259,,"0.3% (누적:1,259명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,24,카를로비바리,,0.3%,1227,,"0.3% (누적:1,227명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,25,네 얼굴로는 울 수 없어,,0.3%,1210,,"0.3% (누적:1,210명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,26,아가미,,0.3%,1112,,"0.3% (누적:1,112명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,27,경주기행,,0.2%,1035,,"0.2% (누적:1,035명)"
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,28,햄넷,,0.2%,882,,0.2% (누적:882명)
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,29,모모와 다락방의 수상한 요괴들,,0.2%,854,,0.2% (누적:854명)
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,30,이누야샤 극장판: 시대를 초월한 마음,,0.2%,853,,0.2% (누적:853명)
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,31,비광,,0.2%,800,,0.2% (누적:800명)
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,32,가족여행,,0.2%,791,,0.2% (누적:791명)
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,33,토리노의 말,,0.2%,711,,0.2% (누적:711명)
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,34,철들 무렵,,0.1%,623,,0.1% (누적:623명)
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,35,"청년 조용기: 신을 저주하던 청년, 시대를 긋는 종이 되다",,0.1%,583,,0.1% (누적:583명)
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,36,아이유 콘서트 : 더 골든 아워,,0.1%,564,,0.1% (누적:564명)
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,37,사탄탱고,,0.1%,562,,0.1% (누적:562명)
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,38,인간 혐오자,,0.1%,503,,0.1% (누적:503명)
2026-09-14 02:54:55 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,39,어떻게 해야 했을까?,,0.1%,481,,0.1% (누적:481명)
