collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,스파이더맨: 브랜드 뉴 데이,,48.0%,307190,,"48.0% (누적:307,190명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,호프,,26.6%,170131,,"26.6% (누적:170,131명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,오디세이,,12.3%,78816,,"12.3% (누적:78,816명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,미니언즈 & 몬스터즈,,2.5%,15855,,"2.5% (누적:15,855명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,모아나,,1.7%,11044,,"1.7% (누적:11,044명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,드림 애니멀즈: 더무비,,1.3%,8426,,"1.3% (누적:8,426명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,사랑의 하츄핑: 고래보석의 전설,,1.0%,6392,,"1.0% (누적:6,392명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,토이 스토리 5,,1.0%,6099,,"1.0% (누적:6,099명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,눈동자,,0.9%,5823,,"0.9% (누적:5,823명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,다윗,,0.8%,4956,,"0.8% (누적:4,956명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,호컴,,0.5%,2996,,"0.5% (누적:2,996명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,지느러미,,0.4%,2432,,"0.4% (누적:2,432명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,마티 슈프림,,0.4%,2253,,"0.4% (누적:2,253명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,군체,,0.2%,1149,,"0.2% (누적:1,149명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,앤팀 브이알 콘서트 : 바운드리스,,0.2%,1068,,"0.2% (누적:1,068명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,뱀의 길,,0.2%,1033,,"0.2% (누적:1,033명)"
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,경멸,,0.1%,952,,0.1% (누적:952명)
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,,0.1%,901,,0.1% (누적:901명)
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,시크릿 에이전트,,0.1%,733,,0.1% (누적:733명)
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,파리의 사생활,,0.1%,661,,0.1% (누적:661명)
2026-07-22 01:22:22 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,큐어,,0.1%,574,,0.1% (누적:574명)
