collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,군체,,47.8%,142538,,"47.8% (누적:142,538명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,마이클,,13.7%,40953,,"13.7% (누적:40,953명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,와일드 씽,,6.1%,18117,,"6.1% (누적:18,117명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,신극장판 은혼: 요시와라 대염상,,4.5%,13511,,"4.5% (누적:13,511명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,악마는 프라다를 입는다 2,,3.3%,9731,,"3.3% (누적:9,731명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,,2.2%,6472,,"2.2% (누적:6,472명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,극장판 호빵맨: 세균맨과 그림책의 루룬,,1.9%,5569,,"1.9% (누적:5,569명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,백룸,,1.6%,4694,,"1.6% (누적:4,694명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,프로젝트 헤일메리,,1.6%,4628,,"1.6% (누적:4,628명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,살목지,,1.1%,3333,,"1.1% (누적:3,333명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,슈퍼 마리오 갤럭시,,1.1%,3297,,"1.1% (누적:3,297명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,탑건: 매버릭,,1.0%,3067,,"1.0% (누적:3,067명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,리마인더스 오브 힘,,1.0%,3000,,"1.0% (누적:3,000명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,파이널 피스,,1.0%,2927,,"1.0% (누적:2,927명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,극장판 내 마음의 위험한 녀석,,1.0%,2925,,"1.0% (누적:2,925명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,남태령,,0.9%,2821,,"0.9% (누적:2,821명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,상자 속의 양,,0.8%,2303,,"0.8% (누적:2,303명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,쇼타씨의 마지막 출장,,0.6%,1825,,"0.6% (누적:1,825명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,만달로리안과 그로구,,0.6%,1777,,"0.6% (누적:1,777명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,교생실습,,0.5%,1526,,"0.5% (누적:1,526명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,이프 온리,,0.5%,1416,,"0.5% (누적:1,416명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,22,탑건,,0.5%,1342,,"0.5% (누적:1,342명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,23,왕과 사는 남자,,0.4%,1314,,"0.4% (누적:1,314명)"
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,24,짱구,,0.3%,913,,0.3% (누적:913명)
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,25,피어스,,0.2%,744,,0.2% (누적:744명)
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,26,다윗,,0.2%,726,,0.2% (누적:726명)
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,27,아이엠 포포,,0.2%,722,,0.2% (누적:722명)
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,28,올 그린스,,0.2%,531,,0.2% (누적:531명)
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,29,뒷자리에 태워줘,,0.2%,520,,0.2% (누적:520명)
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,30,란 12.3,,0.2%,455,,0.2% (누적:455명)
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,31,펀치 드렁크 러브,,0.1%,441,,0.1% (누적:441명)
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,32,마이 샤이니 월드,,0.1%,429,,0.1% (누적:429명)
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,33,신의악단,,0.1%,379,,0.1% (누적:379명)
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,34,빨간 나라를 보았니,,0.1%,339,,0.1% (누적:339명)
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,35,내 이름은,,0.1%,323,,0.1% (누적:323명)
2026-05-19 05:21:45 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,36,비발디와 나,,0.1%,315,,0.1% (누적:315명)
